,product_name,ratings,sale_price,actual_price
78,HP Laptop 15s,3.1,"27,990","31,964"
79,Dell 15 Thin & Light Laptop,3.5,"47,990","67,457"
80,ZEBRONICS PRO Series Z NBC 4S,3.5,"31,990","62,999"
81,MSI Commercial 14 H,,"78,990","1,09,990"
82,AXL VayuBook Laptop 14.1 Inch FHD IPS Display (4GB Ram,3.3,"11,990","31,990"
83,"HP 15 Core i5 13th Gen (8GB RAM/512GB SSD/FHD/Windows 11/MS Office/Backlit Keyboard/15.6"" (39.6cm)/Silver/1.59 kg) fd0220TU / fd0111tu Laptop  ",3.7,"51,529","70,502"
84,HP Smart Choice Victus Gaming Laptop,4.0,"79,990","98,170"
85,ASUS Vivobook 16X,3.7,"70,990","85,990"
86,Dell Inspiron 3530 Thin & Light Laptop,3.7,"36,990","53,040"
87,HP Laptop 14s,3.8,"36,990","51,266"
88,"Lenovo IdeaPad 1 AMD Ryzen 5 7520U 15.6"" HD Thin and Light Laptop (8 GB/512GB SDD/Windows 11 Home/1Yr Warranty/Cloud Grey/1.58Kg)",4.7,"36,990","67,690"
89,ASUS TUF Gaming F17,3.7,"50,990","85,990"
90,ASUS Vivobook 15,3.8,"25,800","42,990"
91,"Lenovo IdeaPad 1 AMD Ryzen 3 7320U 15.6"" HD Thin and Light Laptop (8 GB/512GB SDD/Windows 11 Home/Office 2021/1Yr ADP Free/Cloud Grey/1.58Kg)",4.0,"31,590","52,890"
92,"Chuwi HeroBook Plus 15.6"" FHD Laptop",3.9,"18,990","39,990"
93,HP Victus Windows 11 Home Gaming Laptop,4.2,"81,990","1,01,715"
94,"Lenovo IdeaPad Slim 3 12th Gen Intel Core i5-12450H 15.6"" (39.6cm) FHD IPS Thin & Light Laptop (16GB/512GB SSD/Win 11/Office 21/Backlit KB/Alexa Built-in/3 Mon Game Pass/Arctic Grey/1.6Kg)",3.9,"50,400","75,490"
95,Dell 15 Thin & Light Laptop,4.1,"37,990","47,869"
96,ASUS Vivobook Go 15 (2023),3.8,"43,990","70,990"
97,"Lenovo IdeaPad 1 Intel Core Celeron N4020 14"" HD Thin and Light Laptop (4GB/256GB SDD/Windows 11 Home/1Yr ADP Free/Cloud Grey/1.3Kg)",3.7,"18,990","33,190"
98,"(Refurbished) Lenovo ThinkPad 8th Gen Intel Core i5 Thin & Light HD Laptop (8 GB DDR4 RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics)  ",3.4,"17,999","1,00,000"
99,"Lenovo ThinkBook 14 Intel 13th Gen Core i3 14"" (35.56cm) WUXGA IPS 300 Nits Antiglare Thin and Light Laptop (8GB/512GB SSD/Win 11 Home/FPR/Arctic Grey/1Y Onsite + Premier Support/1.38Kg)",4.3,"43,990","75,600"
100,MSI Thin 15,3.9,"42,990","67,990"
101,ASUS Vivobook 14 Thin and Light Laptop,3.8,"35,990","56,990"
102,(Refurbished) Dell Latitude 5410 10th Gen Intel Core i5 Thin & Light HD Laptop (16 GB DDR4 RAM/256 GB SSD/14 (35.6 cm) HD/Windows 11 Pro/MS Office/WiFi/BT/Intel UHD Graphics)  ,4.1,"24,899","59,999"
103,"Chuwi CoreBook X i5 14"" Laptop",3.7,"24,990","34,990"
104,"(Refurbished) Lenovo ThinkPad 6th Gen Intel Core i5 Thin & Light HD Laptop (8 GB RAM/256 GB SSD/14"" (35.6 cm) HD/Windows 11/MS Office/WiFi/Webcam/Intel Graphics)",3.5,"15,190","58,990"
105,ASUSROG Zephyrus G16,5.0,"1,94,990","2,33,990"
106,ASUS Vivobook Go 15 (OLED) 2023,4.6,"50,900","79,990"
